title,make_id,model_id,variant_id,body_id,year,center_id,color,vin,lot,doors,seats,fuel_type,fuel_details,transmission,transmission_details,euro_status,cc,keys,engine_runs,mileage,mileage_warranted,former_keepers,vat_status,bidding_history,last_bid,bidding_status,cap_new,cap_retail,cap_clean,cap_average,cap_below,glass_new,glass_retail,glass_trade,autotrader_retail_value,autotrader_trade_value,buy_now_price,start_date,start_time,end_date,mot_expiry_date,mot_due,inspection_date,dor,v5,reg,service_history,no_of_services,number_of_services_details,last_service,last_service_mileage,dvsa_mileage,inspection_report,other_report,service_notes,vendor,grade,tyres_condition,general_condition,brakes,hubs,features,equipment,additional_information,imported,declarations,damaged_images,damage_details,images
CITROEN C3 1.2 P/T 82 FEEL Hatchback,CITROEN,C3,FEEL,Hatchback,2018,Bristol,WHITE,VF7SXHMZ6HT728955,U055BR,5,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,2,False,64333,Yes,4.0,VAT Margin,"['£3,150', '£3,100', '£3,000', '£2,900', '£2,800']",3150,On Sale,,,3275,2800,2300,,,,,,,2026-01-03,09:30:00,,2026-10-08T00:00:00Z,,,,Present,KW67 FXU,,,,2022-10-21T00:00:00Z,46625,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=KW67 FXU-GB,,,,3,,,,,,"Climate Control, Alloy Wheels, Steel Spare Wheel","[{'cO2': '109 g/km', 'nox': '0.007 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292713, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292720, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292726, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292732, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292736, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292745, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292754, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292762, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292774, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665292782"
DACIA DUSTER 1.5 NON UK StationWagon,DACIA,DUSTER,,StationWagon,2018,Measham,GREY,UV1HSDAC600002202,U264MM,5,,Diesel,Diesel,Manual Transmission,Manual Transmission,,1.5,2,False,83808,Yes,2.0,VAT Margin,"['£925', '£900']",925,On Sale,,,,,,,,,,,,2026-01-03,09:30:00,,2026-09-16T00:00:00Z,,,,Present,KE13 WGJ,,,,2019-06-10T00:00:00Z,29681,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=KE13 WGJ-GB,,,,4,,,,,,"Air Conditioning, Alloy Wheels","[{'cO2': '130 g/km', 'nox': '0.128 g/km'}, ['Import - Model/Spec/Engine as seen']]",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029216, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029222, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029233, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029241, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029246, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029253, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029267, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029280, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029292, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=663029305"
DACIA DUSTER 1.5 DCI 110 AMBIANCE StationWagon,DACIA,DUSTER,AMBIANCE,StationWagon,2013,Edinburgh,BLUE,UV1HSDAC600003605,U140ED,5,,Diesel,Diesel,Manual Transmission,Manual Transmission,,1.5,2,False,90236,Yes,2.0,VAT Margin,"['£650', '£625', '£600']",650,On Sale,,,1325,920,520,,,,,,,2026-01-03,09:30:00,,2026-01-16T00:00:00Z,,,,Present,SK13 YBX,,,,2020-12-15T00:00:00Z,62832,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=SK13 YBX-GB,,,,5,,,,,,na,"[{'cO2': '130 g/km', 'nox': '0.128 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667774, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667788, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667801, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667816, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667827, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667844, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667858, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667881, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667903, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664667923"
FIAT 500 1.2 POP S/S Hatchback,FIAT,500,POP,Hatchback,2011,Crawley,BLUE,ZFA31200000679813,U118CR,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,2,False,104687,Yes,3.0,VAT Margin,"['£750', '£700']",750,On Sale,,,900,490,190,,,,,,,2026-01-03,09:30:00,,2026-03-30T00:00:00Z,,,,Present,HN11 SXF,,,,2020-10-14T00:00:00Z,54146,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=HN11 SXF-GB,,,,4,,,,,,Temporary Spare Wheel,"[{'cO2': '113 g/km', 'nox': '0.032 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644291, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644294, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644295, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644298, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644299, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644302, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644304, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644309, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644312, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665644319"
FIAT PANDA 1.2 EASY Hatchback,FIAT,PANDA,EASY,Hatchback,2012,Bristol,BLACK,ZFA31200003079929,U067BR,5,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,1,False,40060,Yes,4.0,VAT Margin,"['£1,700', '£1,600']",1700,On Sale,,,2150,1700,1250,,,,,,,2026-01-03,09:30:00,,2026-07-03T00:00:00Z,,,,Present,MA62 WWT,,,,0001-01-01T00:00:00Z,0,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=MA62 WWT-GB,,,,3,,,,,,"Non OEM I.C.E./NAV System, Air Conditioning","[{'cO2': '120 g/km', 'nox': '0.019 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461129, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461134, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461140, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461150, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461159, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461173, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461202, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461223, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461234, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=662461240"
FIAT 500 0.9 TWINAIR LOUNGE Hatchback,FIAT,500,LOUNGE,Hatchback,2011,Bristol,RED,ZFA31200000633789,U087BR,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,0.9,1,False,80069,Yes,4.0,VAT Margin,"['£525', '£500', '£475', '£450', '£425', '£400']",525,On Sale,,,1150,750,350,,,,,,,2026-01-03,09:30:00,,2026-03-23T00:00:00Z,,,,Present,CU11 ZSY,,,,2022-03-24T00:00:00Z,67178,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=CU11 ZSY-GB,,,,4,,,,,,"Air Conditioning, Half Leather Trim, Temporary Spare Wheel, Alloy Wheels, Panoramic Roof","[{'cO2': '95 g/km', 'nox': '0.034 g/km'}, ['Door(s) - Inoperative - tailgate', 'Key Condition - Remote Inoperative']]",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807819, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807823, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807828, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807830, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807835, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807841, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807850, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807854, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807860, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664807867"
FIAT 500 1.2 COLOUR THERAPY Hatchback,FIAT,500,COLOUR THERAPY,Hatchback,2013,Walsall,YELLOW,ZFA3120000J037226,U553WL,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,2,False,74874,Yes,2.0,VAT Margin,"['£1,100', '£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900']",1100,On Sale,,,1700,1275,880,,,,,,,2026-01-03,09:30:00,,2026-10-12T00:00:00Z,,,,Present,YN63 ZFH,,,,2023-08-28T00:00:00Z,63850,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=YN63 ZFH-GB,,,,4,,,,,,"Air Conditioning, Half Leather Trim","[{'cO2': '113 g/km', 'nox': '0.032 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851856, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851858, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851861, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851865, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851866, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851869, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851876, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851887, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851908, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664851967"
FIAT 500 1.2 LOUNGE Hatchback,FIAT,500,LOUNGE,Hatchback,2017,Measham,BLACK,ZFA3120000J707677,U292MM,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,1,False,76064,Yes,3.0,VAT Margin,"['£3,325', '£3,300', '£3,275', '£3,250', '£3,225', '£3,200', '£3,175', '£3,150', '£3,125', '£3,100', '£3,075', '£3,050', '£3,025', '£3,000', '£2,975', '£2,950', '£2,925', '£2,900', '£2,850', '£2,800', '£2,700', '£2,600']",3325,On Sale,,,3600,3075,2550,,,,,,,2026-01-03,09:30:00,,2025-12-27T00:00:00Z,,,,Present,LD17 VCZ,,,,2021-03-31T00:00:00Z,47649,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LD17 VCZ-GB,,,,3,,,,,,"Parking Sensor(s), Air Conditioning, Steel Spare Wheel, Alloy Wheels, Panoramic Roof","[{'cO2': '110 g/km', 'nox': '0.032 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260067, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260077, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260094, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260099, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260112, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260126, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260140, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260158, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260176, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664260189"
FIAT 500 1.2 LOUNGE S/S Hatchback,FIAT,500,LOUNGE,Hatchback,2012,Nottingham,WHITE,ZFA31200000898740,,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,3,False,85256,Yes,7.0,VAT Margin,,,,,,1475,1075,670,,,,,,,2026-01-03,00:00:00,,2026-11-01T00:00:00Z,,,,Not Present,BK62 VTU,,,,0001-01-01T00:00:00Z,0,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=BK62 VTU-GB,,,,5,,,,,,"Air Conditioning, Half Leather Trim, Alloy Wheels, Steel Spare Wheel","[{'cO2': '113 g/km', 'nox': '0.032 g/km'}, ['Fault - boot does not open']]",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564166, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564173, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564178, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564187, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564194, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564206, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564219, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564231, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564244, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564255"
FIAT PUNTO 1.2 EASY BRIO Hatchback,FIAT,PUNTO,EASY,Hatchback,2012,Newcastle-u-Tyne,WHITE,ZFA19900001896582,U345NC,5,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.2,2,False,60267,Incorrect,2.0,VAT Margin,"['£275', '£250', '£225', '£200']",275,On Sale,,,1125,730,310,,,,,,,2026-01-03,09:30:00,,2026-09-18T00:00:00Z,,,,Present,NG12 VAK,,,,2022-06-23T00:00:00Z,52332,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=NG12 VAK-GB,,,,4,,,,,,"Climate Control, Parking Sensor(s), Alloy Wheels, Steel Spare Wheel","[{'cO2': '126 g/km', 'nox': '0.018 g/km'}, ['Mileage Incorrect - Vosa discrepancy', 'DVSA Discrepancy', 'Tree Sap/FallOut Exterior']]",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961502, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961506, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961509, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961513, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961515, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961519, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961523, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961525, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961529, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=661961531"
